,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
57,Your Wife (feat. Dr. Dre),Music and Me,Nate Dogg,2001-12-04,219493,49,0.859,0.0127,0.859,0.342,0.00373,0.056,-5.789,0.117,97.08,4
58,Plain Jane,Still Striving,A$AP Ferg,2017-08-18,173600,77,0.797,0.0651,0.797,0.844,0.0,0.087,-5.482,0.275,170.142,4
59,Can't Fuck With Queen Bee (feat. Governor & Shelene Thomas With Full Force),La Bella Mafia,Lil' Kim,2003-03-03,298533,25,0.693,0.109,0.693,0.546,6.91e-06,0.161,-8.522,0.282,169.936,4
60,One Year Of Love - Remastered 2011,Forever (Deluxe Edition),Queen,2014-01-01,267680,12,0.569,0.268,0.569,0.379,0.000291,0.364,-8.555,0.0263,110.972,3
61,On My Block,The Fix (Explicit Version),Scarface,2002-01-01,214533,0,0.834,0.165,0.834,0.917,0.0,0.0533,-3.194,0.205,82.766,4
62,Pimp In Me,Back Of My Lac',J. Holiday,2007-01-01,265226,35,0.582,0.00178,0.582,0.642,0.0,0.222,-7.999,0.0383,124.043,4
63,Shining,Shining,DJ Khaled,2017-02-13,284000,0,0.768,0.053,0.768,0.807,2.99e-06,0.214,-5.508,0.106,112.001,4
64,You,Jesse Powell,Jesse Powell,1996-01-01,318466,52,0.722,0.299,0.722,0.327,0.000661,0.0549,-9.612,0.026,112.249,4
65,All Mine,Portishead,Portishead,1997-01-01,240640,54,0.601,0.11,0.601,0.656,0.0148,0.103,-2.692,0.0403,60.161,4
66,Nann Nigga,www.thug.com (Explicit Version),Trick Daddy,1999-03-30,167400,53,0.837,0.000507,0.837,0.819,0.0,0.323,-5.245,0.211,149.918,4
67,B R Right (feat. Ludacris),Diamond Princess,Trina,2002-04-30,261986,43,0.702,0.0956,0.702,0.78,0.0,0.105,-5.379,0.168,135.991,4
68,Losing,H.E.R.,H.E.R.,2017-10-20,225773,61,0.44,0.357,0.44,0.31,0.000363,0.108,-13.487,0.259,172.672,3
69,I Choose You,The Blessed Unrest,Sara Bareilles,2013-07-16,218573,67,0.731,0.105,0.731,0.572,0.00012,0.133,-7.889,0.0445,154.038,4
70,"I Dreamed A Dream - From ""Les Misérables""",Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),Les Misérables Cast,2013-01-01,277533,49,0.256,0.937,0.256,0.0739,1.93e-05,0.0907,-17.227,0.0471,87.502,4
71,Through the Fire,"Epiphany: The Best of Chaka Khan, Vol. 1",Chaka Khan,1996-11-08,286693,53,0.569,0.165,0.569,0.591,6.65e-06,0.132,-7.399,0.0307,130.868,4
72,Drinkin',Drinkin',JMSN,2017-03-01,283583,37,0.635,0.0246,0.635,0.56,0.00423,0.301,-6.723,0.157,129.961,3
73,Ukelele,OYO (Deluxe Edition),Angelique Kidjo,2010-04-06,251733,3,0.711,0.674,0.711,0.527,0.0569,0.109,-10.801,0.044,141.92,4
74,Ill Na Na,Ill Na Na,Foxy Brown,1996-01-01,186733,40,0.931,0.0323,0.931,0.54,2.63e-06,0.249,-10.876,0.274,99.853,4
75,Ms. Fat Booty,Black On Both Sides,Mos Def,1999-10-12,223546,70,0.782,0.148,0.782,0.589,0.0,0.164,-4.827,0.189,90.438,4
76,I'm Better (feat. Lamb),I'm Better (feat. Lamb),Missy Elliott,2017-01-27,213120,50,0.926,0.374,0.926,0.354,0.0,0.49,-10.773,0.511,105.005,4
77,Selfish,Detroit Deli (A Taste Of Detroit),Slum Village,2004-01-01,225400,61,0.71,0.221,0.71,0.597,0.0,0.432,-6.468,0.239,95.769,4
78,The Heart,Stripped,Macy Gray,2016-09-09,316000,0,0.384,0.778,0.384,0.0645,5.52e-05,0.112,-21.796,0.0508,184.245,3
79,Like I'm Gonna Lose You (feat. John Legend),Title (Deluxe),Meghan Trainor,2015-01-09,225053,80,0.63,0.4,0.63,0.53,0.0,0.177,-7.259,0.0434,108.038,3
80,We Are The Champions - Remastered 2011,News Of The World (Deluxe Remastered Version),Queen,1977-10-28,179200,65,0.268,0.378,0.268,0.459,0.0,0.119,-6.948,0.0346,64.223,4
81,Sound & Color,Sound & Color,Alabama Shakes,2015-04-21,183293,0,0.548,0.852,0.548,0.412,0.611,0.0854,-7.398,0.0736,114.928,4
82,Life's a Bitch (feat. AZ & Olu Dara),Illmatic,Nas,1994-04-19,210840,60,0.775,0.00138,0.775,0.734,0.0,0.304,-5.41,0.215,90.001,4
83,Sirens,Into,Sonder,2017-01-27,198010,50,0.543,0.061,0.543,0.497,0.000131,0.307,-12.126,0.0937,81.996,4
84,Best Part (feat. H.E.R.),Freudian,Daniel Caesar,2017-08-25,209831,79,0.524,0.808,0.524,0.364,0.0,0.1,-10.209,0.0367,75.24,4
85,Get Me Home,Ill Na Na,Foxy Brown,1996-01-01,229400,64,0.774,0.109,0.774,0.48,0.000661,0.313,-6.599,0.228,96.067,4
86,Gettin' Some,Block Music,Shawnna,2006-01-01,202760,47,0.823,0.0901,0.823,0.586,0.0,0.0605,-6.044,0.336,78.054,4
87,Dangerously In Love,Dangerously In Love,Beyoncé,2003-06-24,293133,58,0.609,0.345,0.609,0.407,0.0,0.19,-8.026,0.0808,99.982,4
88,Mad,Crown,Rapsody,2016-11-17,170710,20,0.599,0.073,0.599,0.547,0.0,0.22,-8.676,0.341,71.501,4
89,Big Momma Thang,Hard Core,Lil' Kim,1996,256866,54,0.874,0.0621,0.874,0.716,1.39e-05,0.253,-5.859,0.252,95.587,4
90,Modern Love - 1999 Remaster,Let's Dance (1999 Remaster),David Bowie,1983-04-14,288466,1,0.315,0.000376,0.315,0.889,0.00241,0.133,-8.192,0.041,181.329,4
91,"Keep On, Keepin' On (feat. Xscape)",Bad As I Wanna B,MC Lyte,1996,271440,48,0.875,0.24,0.875,0.63,0.00011,0.0742,-6.015,0.114,91.043,4
92,It's All Yours (feat. Gina Thompson),Seven & Seven,MC Lyte,1998,280600,40,0.875,0.143,0.875,0.381,0.00284,0.0333,-8.816,0.103,90.013,4
93,What More Can I Say,Yes Lawd!,NxWorries,2016-10-21,156133,0,0.55,0.122,0.55,0.509,0.0,0.149,-5.683,0.118,75.663,4
94,Toss It,Neva Left,Snoop Dogg,2017-05-19,194757,33,0.88,0.0264,0.88,0.691,0.0,0.346,-5.304,0.216,98.01,4
95,Zelie,OYO (Deluxe Edition),Angelique Kidjo,2010-04-06,123453,8,0.757,0.859,0.757,0.163,0.0,0.0888,-10.742,0.0487,127.051,4
96,Modern Love - Single Version [Remastered],Legacy (Deluxe Edition),David Bowie,2016-11-11,237920,37,0.47,0.0023,0.47,0.891,2.46e-05,0.0581,-8.687,0.0314,91.833,4
97,If I Start to Talk (feat. Dr Sid),R.E.D (Deluxe Edition),Tiwa Savage,2016-02-23,234880,26,0.703,0.0496,0.703,0.882,0.0,0.0926,-3.732,0.0671,99.993,4
98,Truth Hurts,Truth Hurts,Lizzo,2017-09-19,173325,0,0.715,0.11,0.715,0.624,0.0,0.123,-3.046,0.114,158.087,4
99,Love Again (feat. JMSN & Sango),Songs To Make Up To,Ta-ku,2015-07-10,316338,0,0.513,0.063,0.513,0.327,0.000253,0.117,-8.798,0.0346,78.412,4
